Order_ID,Date,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Payment_Method,Shipping_Days,Customer_Satisfaction,Total_Price,Final_Price
ORD_00029,2023-06-10,1128,Clothing,Cookbook,3,50,5,PayPal,5,3,150,142.5
ORD_00030,2023-11-10,1600,Electronics,Jeans,4,1500,25,Credit Card,6,3,6000,4500.0
ORD_00031,2023-01-22,1604,Home & Garden,Novel,1,200,25,UPI,12,5,200,150.0
ORD_00032,2023-09-10,1326,Clothing,Phone,4,1500,25,Credit Card,11,3,6000,4500.0
ORD_00033,2023-08-24,1979,Electronics,Phone,3,100,20,Debit Card,2,4,300,240.0
ORD_00034,2023-12-11,1403,Books,Jeans,3,10,25,PayPal,9,4,30,22.5
ORD_00035,2023-02-18,1628,Clothing,Laptop,3,100,20,Credit Card,8,2,300,240.0
ORD_00036,2023-02-28,2382,Electronics,Dumbbell,3,200,10,Credit Card,7,4,600,540.0
ORD_00037,2023-06-19,1717,Sports,Jeans,4,25,0,PayPal,9,2,100,100.0
ORD_00038,2023-07-07,2040,Sports,Cookbook,1,100,25,Credit Card,5,4,100,75.0
ORD_00039,2023-09-28,1273,Electronics,Phone,3,50,0,PayPal,5,3,150,150.0
ORD_00040,2023-07-09,1684,Home & Garden,Novel,5,1500,25,UPI,11,4,7500,5625.0
ORD_00041,2024-03-21,1115,Home & Garden,Phone,1,200,20,PayPal,11,5,200,160.0
ORD_00042,2023-06-24,1860,Clothing,Yoga Mat,5,10,5,PayPal,9,3,50,47.5
ORD_00043,2024-03-21,1692,Sports,Dumbbell,4,1000,0,UPI,11,5,4000,4000.0
ORD_00044,2023-02-20,2114,Home & Garden,Plant Pot,3,1000,0,Credit Card,5,1,3000,3000.0
ORD_00045,2023-12-30,2105,Home & Garden,Yoga Mat,1,200,20,Credit Card,9,4,200,160.0
ORD_00046,2023-02-24,1323,Sports,Laptop,3,500,0,UPI,1,4,1500,1500.0
ORD_00047,2023-09-01,1960,Books,T-Shirt,3,25,10,Debit Card,10,4,75,67.5
ORD_00048,2023-11-16,1113,Home & Garden,Yoga Mat,1,10,20,PayPal,10,3,10,8.0
ORD_00049,2023-05-11,2081,Electronics,Laptop,3,25,0,Credit Card,11,1,75,75.0
ORD_00050,2023-11-03,1153,Clothing,Laptop,3,1000,0,Credit Card,8,4,3000,3000.0
ORD_00051,2023-05-15,2427,Home & Garden,Plant Pot,2,25,0,PayPal,3,2,50,50.0
ORD_00052,2023-01-21,2289,Home & Garden,T-Shirt,2,50,20,PayPal,13,5,100,80.0
ORD_00053,2023-11-25,1314,Books,Headphones,1,1500,5,PayPal,8,3,1500,1425.0
ORD_00054,2023-06-16,2064,Electronics,Jeans,1,1000,15,Debit Card,5,4,1000,850.0
ORD_00055,2023-10-01,1104,Clothing,Novel,3,100,25,UPI,2,4,300,225.0
ORD_00056,2024-01-23,2216,Home & Garden,Cookbook,5,50,0,Debit Card,9,4,250,250.0
ORD_00057,2023-03-30,2424,Clothing,Cookbook,1,50,15,Debit Card,4,5,50,42.5
ORD_00058,2023-11-12,2301,Sports,Cookbook,3,500,15,PayPal,14,4,1500,1275.0
ORD_00059,2023-01-14,1353,Home & Garden,Headphones,5,50,0,UPI,14,1,250,250.0
ORD_00060,2023-08-30,2015,Home & Garden,Jeans,2,10,0,Credit Card,7,5,20,20.0
ORD_00061,2023-09-22,1732,Sports,Cookbook,1,100,25,PayPal,12,2,100,75.0
ORD_00062,2023-12-12,1708,Books,Jeans,3,100,15,UPI,8,4,300,255.0
ORD_00063,2023-02-22,2279,Home & Garden,Novel,2,1000,5,Credit Card,7,5,2000,1900.0
ORD_00064,2024-01-21,1650,Clothing,Cookbook,4,10,15,Debit Card,11,3,40,34.0
ORD_00065,2023-12-06,1823,Electronics,T-Shirt,2,50,5,UPI,6,4,100,95.0
ORD_00066,2023-04-02,1946,Clothing,Laptop,3,50,10,Debit Card,14,1,150,135.0
ORD_00067,2024-01-02,1660,Books,Cookbook,5,25,5,Debit Card,12,5,125,118.75
ORD_00068,2024-03-19,1098,Electronics,Jeans,4,1000,25,UPI,7,5,4000,3000.0
ORD_00069,2024-03-30,1587,Clothing,Laptop,4,1000,20,Credit Card,4,3,4000,3200.0
ORD_00070,2024-03-03,1281,Clothing,Plant Pot,4,25,0,UPI,10,4,100,100.0
ORD_00071,2023-09-21,1402,Sports,Cookbook,1,500,10,Credit Card,1,4,500,450.0
ORD_00072,2024-03-06,2132,Books,Cookbook,3,200,15,PayPal,5,4,600,510.0
ORD_00073,2023-02-04,1699,Sports,Yoga Mat,4,25,5,PayPal,8,3,100,95.0
ORD_00074,2023-07-25,1198,Electronics,Laptop,2,100,10,PayPal,10,4,200,180.0
ORD_00075,2023-03-22,2326,Sports,Cookbook,5,1500,20,Debit Card,6,5,7500,6000.0
ORD_00076,2024-02-24,1326,Books,T-Shirt,3,10,5,PayPal,5,3,30,28.5
ORD_00077,2023-02-19,1153,Home & Garden,Novel,2,50,25,Debit Card,2,2,100,75.0
ORD_00078,2023-12-26,1551,Home & Garden,Laptop,1,200,15,Credit Card,10,5,200,170.0
ORD_00079,2024-01-23,1404,Electronics,Novel,4,25,15,UPI,12,3,100,85.0
ORD_00080,2023-01-02,1461,Home & Garden,Dumbbell,2,1000,5,UPI,5,4,2000,1900.0
ORD_00081,2024-01-25,1131,Sports,Jeans,3,200,20,Debit Card,10,4,600,480.0
ORD_00082,2023-02-23,1790,Electronics,Plant Pot,2,10,0,Debit Card,12,3,20,20.0
ORD_00083,2023-04-16,1873,Books,Yoga Mat,1,1500,0,Debit Card,3,4,1500,1500.0
ORD_00084,2023-09-17,1083,Electronics,T-Shirt,5,10,15,Credit Card,13,4,50,42.5
ORD_00085,2023-11-06,2422,Electronics,Plant Pot,4,1000,20,Credit Card,2,4,4000,3200.0
ORD_00086,2023-07-10,1753,Clothing,Yoga Mat,3,200,15,PayPal,14,4,600,510.0
ORD_00087,2024-02-06,1627,Clothing,Plant Pot,4,200,0,PayPal,3,5,800,800.0
ORD_00088,2023-08-06,2132,Electronics,Plant Pot,4,500,15,UPI,4,4,2000,1700.0
ORD_00089,2023-02-13,1220,Home & Garden,Phone,4,200,5,PayPal,2,3,800,760.0
ORD_00090,2023-06-11,1552,Clothing,,2,50,25,Credit Card,14,2,100,75.0
ORD_00091,2023-07-21,2391,Books,Headphones,2,1500,5,Credit Card,4,1,3000,2850.0
ORD_00092,2024-03-21,2170,Sports,Yoga Mat,5,1500,25,Credit Card,4,5,7500,5625.0
ORD_00093,2023-09-27,1111,Clothing,T-Shirt,1,1500,20,Credit Card,6,5,1500,1200.0
ORD_00094,2023-12-17,1614,Electronics,Laptop,3,100,0,UPI,12,2,300,300.0
ORD_00095,2023-10-31,1923,Home & Garden,Plant Pot,2,25,20,UPI,5,4,50,40.0
ORD_00096,2023-09-28,1474,Sports,Plant Pot,4,1000,20,Credit Card,7,3,4000,3200.0
ORD_00097,2024-03-31,1835,Clothing,Yoga Mat,1,25,0,Debit Card,11,5,25,25.0
ORD_00098,2023-08-03,1270,Home & Garden,Dumbbell,3,1500,10,PayPal,7,3,4500,4050.0
ORD_00099,2023-09-09,1420,Home & Garden,Headphones,3,25,10,UPI,3,4,75,67.5
ORD_00100,2023-07-09,1706,Home & Garden,Plant Pot,3,200,15,Debit Card,9,3,600,510.0
ORD_00101,2023-10-23,2390,Electronics,Cookbook,3,1000,10,PayPal,7,3,3000,2700.0
ORD_00102,2023-08-01,2303,Books,Phone,5,200,5,Debit Card,7,3,1000,950.0
ORD_00103,2023-07-27,2306,Home & Garden,Novel,3,500,25,Credit Card,2,4,1500,1125.0
ORD_00104,2023-08-25,1039,Sports,Phone,1,200,20,PayPal,12,4,200,160.0
ORD_00105,2023-12-04,1188,Clothing,Headphones,2,500,15,Debit Card,10,3,1000,850.0
ORD_00106,2024-01-02,2187,Sports,Cookbook,1,500,20,UPI,3,2,500,400.0
ORD_00107,2023-02-22,1993,Electronics,Phone,4,50,0,UPI,3,4,200,200.0
ORD_00108,2023-10-07,1535,Electronics,Novel,5,50,10,UPI,12,5,250,225.0
ORD_00109,2024-02-14,2027,Sports,Laptop,5,50,0,PayPal,13,5,250,250.0
ORD_00110,2023-08-05,1289,Books,Jeans,4,1500,15,Credit Card,6,5,6000,5100.0
ORD_00111,2023-09-09,1432,Electronics,Laptop,1,50,25,Credit Card,4,4,50,37.5
ORD_00112,2023-07-07,1470,Electronics,Jeans,1,10,5,PayPal,4,5,10,9.5
ORD_00113,2024-01-15,2204,Sports,Dumbbell,4,50,10,PayPal,1,4,200,180.0
ORD_00114,2023-02-10,2271,Electronics,Dumbbell,3,50,0,Credit Card,6,3,150,150.0
ORD_00115,2023-06-06,1627,Books,Dumbbell,3,50,25,UPI,8,4,150,112.5
ORD_00116,2023-01-15,1278,Books,Phone,2,500,10,Credit Card,8,2,1000,900.0
ORD_00117,2023-10-28,1876,Books,Dumbbell,1,25,20,Credit Card,8,2,25,20.0
ORD_00118,2023-03-06,1580,Clothing,Jeans,1,1000,5,Debit Card,5,1,1000,950.0
ORD_00119,2023-12-11,1862,Books,Laptop,4,25,25,UPI,10,3,100,75.0
ORD_00120,2023-11-23,1253,Books,Yoga Mat,4,25,10,PayPal,6,3,100,90.0
ORD_00121,2023-01-09,1180,Clothing,Plant Pot,3,100,5,Credit Card,5,4,300,285.0
ORD_00122,2023-12-10,1680,Home & Garden,Jeans,1,10,25,UPI,4,4,10,7.5
ORD_00123,2023-05-09,1824,Electronics,Laptop,1,500,20,PayPal,12,5,500,400.0
ORD_00124,2023-05-16,1699,Books,Laptop,5,200,20,Debit Card,4,3,1000,800.0
ORD_00125,2023-03-04,1565,Electronics,Plant Pot,2,500,0,Debit Card,4,3,1000,1000.0
ORD_00126,2023-05-19,2349,Sports,Cookbook,2,50,15,UPI,4,5,100,85.0
ORD_00127,2023-03-22,2380,Electronics,Yoga Mat,3,25,0,Credit Card,14,4,75,75.0
ORD_00128,2024-01-27,1679,Clothing,Cookbook,1,500,5,PayPal,6,5,500,475.0
ORD_00129,2023-06-12,1390,Electronics,Cookbook,5,10,0,UPI,6,4,50,50.0
ORD_00130,2024-02-23,2108,Electronics,Laptop,1,50,25,Debit Card,5,4,50,37.5
ORD_00131,2023-10-16,2340,Electronics,Novel,4,100,10,PayPal,12,2,400,360.0
ORD_00132,2024-01-14,1211,Home & Garden,T-Shirt,3,200,25,PayPal,11,5,600,450.0
ORD_00133,2023-09-18,1383,Home & Garden,,2,50,0,Credit Card,14,2,100,100.0
ORD_00134,2023-08-19,1341,Sports,Phone,1,1000,15,Debit Card,11,3,1000,850.0
ORD_00135,2023-02-10,1843,Clothing,Cookbook,3,200,25,Debit Card,9,4,600,450.0
ORD_00136,2023-01-28,2061,Electronics,Dumbbell,2,500,25,Debit Card,8,4,1000,750.0
ORD_00137,2023-05-15,1419,Electronics,Phone,1,50,25,PayPal,10,5,50,37.5
ORD_00138,2023-07-20,1750,Electronics,Headphones,5,100,15,Debit Card,6,1,500,425.0
ORD_00139,2023-11-24,2192,Electronics,Novel,3,500,25,UPI,11,4,1500,1125.0
ORD_00140,2023-09-25,2366,Home & Garden,Phone,1,10,5,Debit Card,9,4,10,9.5
ORD_00141,2024-02-22,1305,Sports,Plant Pot,2,200,20,PayPal,5,3,400,320.0
ORD_00142,2023-02-02,1701,Books,T-Shirt,2,200,15,Debit Card,10,5,400,340.0
ORD_00143,2023-02-17,1868,Clothing,Yoga Mat,5,10,5,Debit Card,4,4,50,47.5
ORD_00144,2024-02-11,1536,Electronics,Plant Pot,3,1500,15,PayPal,14,4,4500,3825.0
ORD_00145,2023-03-03,2135,Sports,Cookbook,3,1500,15,Debit Card,6,5,4500,3825.0
ORD_00146,2023-08-04,2434,Books,Novel,1,1000,20,Credit Card,4,4,1000,800.0
ORD_00147,2023-10-20,1205,Sports,Novel,2,1500,10,PayPal,8,5,3000,2700.0
ORD_00148,2023-04-09,2208,Home & Garden,Cookbook,2,200,5,Debit Card,7,5,400,380.0
ORD_00149,2023-06-21,2405,Books,T-Shirt,5,1500,15,Credit Card,5,4,7500,6375.0
ORD_00150,2023-12-26,1495,Sports,Laptop,5,500,15,UPI,10,5,2500,2125.0
ORD_00151,2023-08-02,2402,Home & Garden,Phone,3,25,0,PayPal,6,3,75,75.0
ORD_00152,2023-02-04,2070,Sports,Dumbbell,2,1000,25,Debit Card,11,5,2000,1500.0
ORD_00153,2024-03-24,1503,Sports,Cookbook,1,10,10,PayPal,7,4,10,9.0
ORD_00154,2023-08-15,2045,Books,Dumbbell,4,100,20,Credit Card,2,5,400,320.0
ORD_00155,2023-04-11,1212,Home & Garden,Phone,1,1000,5,PayPal,9,4,1000,950.0
ORD_00156,2024-03-06,1309,Electronics,T-Shirt,5,50,15,UPI,7,5,250,212.5
ORD_00157,2023-05-11,1660,Clothing,Laptop,1,1500,25,Debit Card,8,5,1500,1125.0
ORD_00158,2023-09-14,1752,Books,Yoga Mat,2,50,5,UPI,14,4,100,95.0
ORD_00159,2023-01-05,1271,Home & Garden,T-Shirt,3,10,20,Credit Card,5,4,30,24.0
ORD_00160,2023-08-06,1937,Sports,Dumbbell,4,1500,10,PayPal,3,5,6000,5400.0
ORD_00161,2023-09-12,2225,Home & Garden,Novel,3,25,0,Debit Card,2,3,75,75.0
ORD_00162,2024-02-02,1031,Clothing,Novel,4,500,10,Debit Card,2,1,2000,1800.0
ORD_00163,2023-12-25,1442,Clothing,Headphones,4,100,0,Credit Card,3,4,400,400.0
ORD_00164,2023-10-10,1161,Electronics,Jeans,2,50,5,Credit Card,1,4,100,95.0
ORD_00165,2024-01-28,1766,Electronics,Plant Pot,2,50,10,PayPal,1,3,100,90.0
ORD_00166,2023-07-26,1253,Clothing,Plant Pot,5,500,10,Debit Card,7,4,2500,2250.0
ORD_00167,2023-01-15,1520,Books,Cookbook,5,25,10,Credit Card,10,2,125,112.5
ORD_00168,2023-12-12,1976,Books,Dumbbell,4,200,20,Debit Card,12,3,800,640.0
ORD_00169,2023-02-11,1009,Sports,Plant Pot,5,1000,5,PayPal,11,3,5000,4750.0
ORD_00170,2024-01-15,1725,Electronics,Plant Pot,2,10,0,UPI,8,3,20,20.0
ORD_00171,2023-06-28,1504,Sports,T-Shirt,5,25,10,Credit Card,6,3,125,112.5
ORD_00172,2023-03-04,1784,Electronics,Yoga Mat,4,25,5,PayPal,7,4,100,95.0
ORD_00173,2023-12-18,1435,Clothing,Dumbbell,3,25,25,UPI,1,3,75,56.25
ORD_00174,2023-08-19,2134,Books,Headphones,1,25,20,PayPal,14,5,25,20.0
ORD_00175,2023-08-29,1152,Books,Yoga Mat,5,200,20,Credit Card,1,4,1000,800.0
ORD_00176,2023-02-21,1916,Clothing,Headphones,2,500,25,PayPal,9,2,1000,750.0
ORD_00177,2023-04-06,1868,Sports,Dumbbell,3,100,5,Debit Card,5,3,300,285.0
ORD_00178,2024-01-23,2125,Sports,Laptop,2,1000,0,Credit Card,7,5,2000,2000.0
ORD_00179,2023-08-10,1752,Home & Garden,Laptop,5,25,5,Debit Card,6,1,125,118.75
ORD_00180,2024-02-11,2214,Electronics,Plant Pot,4,1000,5,PayPal,4,5,4000,3800.0
ORD_00181,2023-08-19,1562,Sports,Cookbook,1,25,15,Credit Card,1,4,25,21.25
ORD_00182,2023-08-25,2104,Clothing,Novel,1,10,20,Debit Card,4,4,10,8.0
ORD_00183,2023-05-23,1488,Sports,T-Shirt,3,50,0,Debit Card,10,5,150,150.0
ORD_00184,2023-06-20,1894,Books,Plant Pot,1,200,15,Debit Card,10,4,200,170.0
ORD_00185,2023-01-29,2111,Electronics,Jeans,4,25,25,UPI,8,5,100,75.0
ORD_00186,2023-02-05,2217,Home & Garden,Laptop,2,1500,5,Debit Card,13,5,3000,2850.0
ORD_00187,2023-01-13,1103,Electronics,Plant Pot,4,100,25,Debit Card,12,5,400,300.0
ORD_00188,2023-06-09,2119,Books,Novel,3,100,20,PayPal,11,5,300,240.0
ORD_00189,2023-11-23,2446,Books,Headphones,3,100,15,PayPal,13,3,300,255.0
ORD_00190,2023-07-06,2221,Books,Headphones,1,1500,15,PayPal,1,3,1500,1275.0
ORD_00191,2023-08-31,2024,Books,Phone,4,10,0,PayPal,2,4,40,40.0
ORD_00192,2023-03-27,2006,Clothing,T-Shirt,2,100,5,UPI,8,5,200,190.0
ORD_00193,2023-10-11,1406,Home & Garden,Cookbook,4,500,0,PayPal,2,4,2000,2000.0
ORD_00194,2023-03-07,2401,Books,Headphones,2,10,15,PayPal,11,2,20,17.0
ORD_00195,2023-06-19,1166,Books,Phone,2,200,15,PayPal,13,5,400,340.0
ORD_00196,2023-02-14,1508,Sports,Laptop,4,100,0,Debit Card,12,4,400,400.0
ORD_00197,2023-03-03,1312,Home & Garden,Headphones,5,50,15,UPI,10,4,250,212.5
ORD_00198,2024-03-16,2441,Electronics,Cookbook,4,25,10,PayPal,9,5,100,90.0
ORD_00199,2023-05-14,1762,Home & Garden,Plant Pot,2,200,20,Debit Card,3,4,400,320.0
ORD_00200,2023-10-11,1680,Home & Garden,Novel,3,500,5,Credit Card,3,4,1500,1425.0
ORD_00201,2023-01-28,1476,Home & Garden,Jeans,3,50,20,UPI,6,4,150,120.0
ORD_00202,2023-04-18,1072,Books,Headphones,1,200,5,PayPal,3,4,200,190.0
ORD_00203,2023-02-13,2164,Books,Jeans,3,500,15,Debit Card,9,3,1500,1275.0
ORD_00204,2023-12-06,1581,Clothing,Jeans,5,100,0,Credit Card,11,4,500,500.0
ORD_00205,2023-10-13,1261,Electronics,Jeans,2,200,0,Credit Card,8,1,400,400.0
ORD_00206,2024-03-21,2363,Sports,Yoga Mat,4,200,15,Debit Card,4,4,800,680.0
ORD_00207,2023-11-27,2331,Home & Garden,Jeans,4,200,5,Debit Card,6,4,800,760.0
ORD_00208,2023-05-08,1244,Electronics,Yoga Mat,5,10,15,UPI,8,3,50,42.5
ORD_00209,2023-12-14,2360,Electronics,Novel,3,1500,5,Debit Card,4,4,4500,4275.0
ORD_00210,2023-08-19,1560,Clothing,Jeans,2,50,15,PayPal,13,4,100,85.0
ORD_00211,2023-07-09,2099,Sports,Phone,3,1000,15,Credit Card,5,3,3000,2550.0
ORD_00212,2023-08-13,1174,Home & Garden,Jeans,1,500,15,PayPal,7,3,500,425.0
ORD_00213,2024-01-20,1108,Sports,Dumbbell,3,1500,0,PayPal,8,5,4500,4500.0
ORD_00214,2024-01-12,1182,Clothing,T-Shirt,1,100,5,PayPal,7,5,100,95.0
ORD_00215,2023-10-10,1191,Books,Phone,4,25,25,Credit Card,8,4,100,75.0
ORD_00216,2024-03-21,1064,Electronics,Cookbook,2,100,15,Credit Card,4,5,200,170.0
ORD_00217,2023-05-01,1962,Home & Garden,Headphones,1,100,20,Credit Card,1,4,100,80.0
ORD_00218,2023-04-26,2497,Books,Novel,3,10,20,Debit Card,6,5,30,24.0
ORD_00219,2023-08-21,2123,Clothing,Novel,3,10,0,PayPal,5,3,30,30.0
ORD_00220,2023-09-16,1863,Sports,Dumbbell,4,200,10,UPI,11,5,800,720.0
ORD_00221,2023-12-25,2151,Electronics,Dumbbell,5,1500,25,Debit Card,4,4,7500,5625.0
ORD_00222,2023-07-17,2475,Home & Garden,Dumbbell,5,100,0,Debit Card,2,4,500,500.0
ORD_00223,2024-03-31,1368,Books,Dumbbell,3,50,10,UPI,1,4,150,135.0
ORD_00224,2024-02-15,1850,Books,Dumbbell,5,10,0,PayPal,9,3,50,50.0
ORD_00225,2023-05-17,1042,Electronics,Laptop,2,500,20,UPI,12,5,1000,800.0
ORD_00226,2023-11-14,2442,Sports,Plant Pot,5,1500,15,Credit Card,2,3,7500,6375.0
ORD_00227,2023-06-14,1487,Clothing,Novel,2,10,5,PayPal,9,4,20,19.0
ORD_00228,2023-08-13,1077,Sports,Dumbbell,3,50,15,Debit Card,6,4,150,127.5
ORD_00229,2023-11-03,1825,Sports,Headphones,3,10,20,Credit Card,13,4,30,24.0
ORD_00230,2023-08-22,2293,Sports,Laptop,3,1000,5,Credit Card,6,3,3000,2850.0
ORD_00231,2023-06-21,1673,Electronics,Phone,4,50,10,Debit Card,2,5,200,180.0
ORD_00232,2023-06-01,1700,Electronics,Phone,5,1500,10,UPI,6,5,7500,6750.0
ORD_00233,2023-11-11,1758,Clothing,Yoga Mat,1,1000,20,Credit Card,3,4,1000,800.0
ORD_00234,2024-01-09,1727,Sports,Plant Pot,1,1000,5,Credit Card,7,5,1000,950.0
ORD_00235,2023-06-09,2338,Electronics,Phone,3,25,15,PayPal,13,5,75,63.75
ORD_00236,2023-04-06,1924,Clothing,Dumbbell,5,50,20,PayPal,10,4,250,200.0
ORD_00237,2023-08-21,1901,Clothing,Novel,2,25,10,Debit Card,4,5,50,45.0
ORD_00238,2023-06-29,1888,Sports,Yoga Mat,1,500,20,Debit Card,9,4,500,400.0
ORD_00239,2023-04-23,1992,Home & Garden,T-Shirt,3,200,15,Debit Card,5,5,600,510.0
ORD_00240,2023-11-14,2191,Sports,Laptop,1,200,0,UPI,12,2,200,200.0
ORD_00241,2024-03-17,1338,Home & Garden,T-Shirt,1,1500,25,Credit Card,10,5,1500,1125.0
ORD_00242,2023-02-21,1192,Clothing,T-Shirt,1,1500,25,Debit Card,3,5,1500,1125.0
ORD_00243,2023-09-25,2476,Electronics,Dumbbell,3,1500,25,PayPal,1,4,4500,3375.0
ORD_00244,2023-10-22,1282,Books,T-Shirt,3,1000,0,Credit Card,1,4,3000,3000.0
ORD_00245,2024-01-21,2359,Clothing,T-Shirt,4,10,15,Debit Card,13,5,40,34.0
ORD_00246,2024-01-22,1389,Electronics,Phone,4,50,5,Credit Card,4,5,200,190.0
ORD_00247,2023-04-23,1999,Clothing,Cookbook,4,10,20,Credit Card,10,2,40,32.0
ORD_00248,2023-04-11,1524,Sports,Yoga Mat,1,50,15,Credit Card,10,5,50,42.5
ORD_00249,2023-04-23,2263,Home & Garden,T-Shirt,5,1500,0,Debit Card,4,3,7500,7500.0
ORD_00250,2024-03-15,1658,Clothing,Plant Pot,3,10,10,Credit Card,9,5,30,27.0
ORD_00251,2023-03-22,1715,Electronics,Headphones,4,200,25,Credit Card,8,3,800,600.0
ORD_00252,2023-07-06,1890,Sports,,5,500,25,Credit Card,4,2,2500,1875.0
ORD_00253,2023-04-23,2481,Books,Plant Pot,4,200,15,PayPal,6,3,800,680.0
ORD_00254,2023-01-02,2112,Sports,Headphones,4,10,25,Debit Card,7,4,40,30.0
ORD_00255,2023-05-10,2118,Home & Garden,T-Shirt,5,50,25,UPI,10,5,250,187.5
ORD_00256,2023-08-08,1451,Sports,Cookbook,4,100,15,PayPal,8,2,400,340.0
ORD_00257,2023-02-23,1427,Books,Jeans,1,500,15,Credit Card,4,5,500,425.0
ORD_00258,2023-12-09,2174,Electronics,Novel,1,50,0,Credit Card,1,5,50,50.0
ORD_00259,2023-08-12,2399,Clothing,Plant Pot,1,10,0,UPI,5,5,10,10.0
ORD_00260,2023-08-13,2045,Home & Garden,T-Shirt,2,50,25,UPI,14,4,100,75.0
ORD_00261,2024-01-20,1882,Books,Yoga Mat,4,1500,15,PayPal,1,4,6000,5100.0
ORD_00262,2024-02-07,1312,Home & Garden,Phone,2,25,15,Credit Card,11,1,50,42.5
ORD_00263,2023-05-06,1839,Sports,T-Shirt,3,50,25,UPI,11,3,150,112.5
ORD_00264,2023-05-10,1518,Home & Garden,Jeans,5,200,5,PayPal,4,5,1000,950.0
ORD_00265,2023-02-22,2229,Books,T-Shirt,3,1000,10,UPI,7,1,3000,2700.0
ORD_00266,2023-06-21,1374,Clothing,T-Shirt,2,200,20,Credit Card,7,5,400,320.0
ORD_00267,2023-08-06,1450,Clothing,Novel,1,25,20,Credit Card,1,2,25,20.0
ORD_00268,2023-06-09,2014,Home & Garden,Phone,4,500,25,Credit Card,9,2,2000,1500.0
ORD_00269,2023-07-17,1594,Electronics,Plant Pot,4,50,20,Credit Card,2,3,200,160.0
ORD_00270,2024-02-20,2202,Home & Garden,Dumbbell,1,500,0,Debit Card,5,5,500,500.0
ORD_00271,2023-09-04,2233,Sports,Dumbbell,4,100,0,Debit Card,6,4,400,400.0
ORD_00272,2023-11-20,1499,Clothing,Yoga Mat,5,50,5,Debit Card,1,2,250,237.5
ORD_00273,2024-03-14,1463,Clothing,Cookbook,5,200,25,PayPal,14,4,1000,750.0
ORD_00274,2023-07-22,2147,Clothing,T-Shirt,5,1000,0,PayPal,12,5,5000,5000.0
ORD_00275,2023-07-03,1112,Electronics,Yoga Mat,3,200,25,UPI,2,4,600,450.0
ORD_00276,2023-05-03,2035,Electronics,Cookbook,1,500,25,UPI,7,2,500,375.0
ORD_00277,2024-02-05,2149,Books,Plant Pot,5,10,15,PayPal,6,2,50,42.5
